Target Company Name;Full Name;P_ID;Primary SIC Code;Dimensions;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
SCHWAB (CHARLES) CORP;Charles Robert Schwab;13988Charles Robert Schwab;6211;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Charles Robert Schwab;13988Charles Robert Schwab;6211;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Charles Robert Schwab;13988Charles Robert Schwab;6211;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;D;D;D;D;D;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Charles Robert Schwab;13988Charles Robert Schwab;6211;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn;chmn;chmn;chmn;chmn;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Charles Robert Schwab;13988Charles Robert Schwab;6211;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Charles Robert Schwab;13988Charles Robert Schwab;6211;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Walter W. Bettinger, II;13988Walter W. Bettinger, II;6211;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Walter W. Bettinger, II;13988Walter W. Bettinger, II;6211;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Westfield Companies 6411;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Hampton Co.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;The Charles Schwab Corp.;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Walter W. Bettinger, II;13988Walter W. Bettinger, II;6211;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;H;D;D;D;D;D;D;D;D;D;D;D;D;J;J;J;J;K;K;K;D;D;J;D;D;J;L;L;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Walter W. Bettinger, II;13988Walter W. Bettinger, II;6211;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z; pension dept.;founder;founder;founder;founder;founder;founder;founder;founder;founder;founder;founder;founder;gen. mgr. SchwabPlan, COO and then pres. Retirement Plan Services Enterprise;gen. mgr. SchwabPlan, COO and then pres. Retirement Plan Services Enterprise;gen. mgr. SchwabPlan, COO and then pres. Retirement Plan Services Enterprise;gen. mgr. SchwabPlan, COO and then pres. Retirement Plan Services Enterprise;gen. mgr. SchwabPlan, COO and then pres. Retirement Plan Services Enterprise;gen. mgr. SchwabPlan, COO and then pres. Retirement Plan Services Enterprise;gen. mgr. SchwabPlan, COO and then pres. Retirement Plan Services Enterprise;pres. corporate services divsn.;pres. corporate services divsn.;pres. corporate services divsn.,COO individual investor enterprise;exec. v.p.,COO individual investor enterprise;pres. individual investor enterprise;pres. individual investor enterprise;CEO;CEO;CEO;CEO;CEO;Z;Z;Z;Z;Z;Z;Z;Z;Z
